Sex,AgeClass,WeightClassKg,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,IPFPoints,weight_bin
M,50-54,90.0,Wraps,225.0,148.0,227.5,566.98,75–90
M,24-34,140.0,Wraps,325.0,200.0,325.0,667.11,120+
M,20-23,110.0,Wraps,340.5,190.0,270.0,698.78,105–120
M,24-34,90.0,Wraps,250.0,182.5,260.0,670.73,75–90
M,35-39,100.0,Raw,,177.5,,652.15,90–105
F,35-39,56.0,Raw,,65.0,,565.33,<60
M,65-69,110.0,Raw,,125.0,,430.38,105–120
M,20-23,90.0,Raw,,145.0,,571.24,75–90
F,45-49,82.5,Raw,,82.5,,605.57,75–90
F,24-34,67.5,Raw,,82.5,,654.64,60–75
F,35-39,67.5,Raw,,67.5,,545.42,60–75
M,24-34,82.5,Wraps,190.0,120.0,210.0,520.0,75–90
M,35-39,82.5,Wraps,170.0,105.0,215.0,478.63,75–90
M,24-34,90.0,Wraps,282.5,162.5,272.5,691.96,75–90
M,24-34,90.0,Wraps,265.0,172.5,272.5,687.31,75–90
M,24-34,90.0,Wraps,200.0,122.5,205.0,492.62,75–90
M,24-34,100.0,Wraps,270.0,135.0,275.0,614.45,90–105
M,20-23,100.0,Wraps,192.5,112.5,217.5,464.14,90–105
M,35-39,100.0,Wraps,150.0,87.5,207.5,384.39,90–105
M,24-34,100.0,Wraps,130.0,105.0,185.0,360.29,90–105
M,70-74,100.0,Wraps,95.0,65.0,125.0,215.72,90–105
M,24-34,110.0,Wraps,210.0,150.0,260.0,536.16,105–120
M,40-44,110.0,Wraps,165.0,105.0,200.0,380.99,105–120
M,35-39,110.0,Wraps,145.0,107.5,190.0,355.5,105–120
M,55-59,125.0,Wraps,205.0,135.0,210.0,426.77,120+
M,24-34,140.0,Wraps,285.0,170.0,290.0,565.3,120+
M,35-39,140.0,Wraps,275.0,147.5,300.0,551.89,120+
F,24-34,56.0,Wraps,75.0,45.0,100.0,397.51,<60
F,24-34,60.0,Wraps,145.0,65.0,147.5,638.14,<60
F,45-49,60.0,Wraps,130.0,70.0,152.5,627.32,<60
F,35-39,60.0,Wraps,132.5,65.0,150.0,619.66,<60
F,40-44,60.0,Wraps,107.5,55.0,135.0,524.73,<60
F,20-23,60.0,Wraps,82.5,45.0,105.0,413.09,<60
F,24-34,67.5,Wraps,132.5,65.0,150.0,584.19,60–75
F,24-34,67.5,Wraps,120.0,72.5,142.5,562.96,60–75
F,24-34,67.5,Wraps,120.0,60.0,120.0,504.45,60–75
F,20-23,67.5,Wraps,110.0,67.5,110.0,494.39,60–75
F,35-39,75.0,Wraps,152.5,55.0,162.5,600.41,60–75
F,20-23,75.0,Wraps,140.0,70.0,160.0,594.46,60–75
F,35-39,82.5,Wraps,145.0,67.5,167.5,607.1,75–90
F,24-34,82.5,Wraps,120.0,65.0,145.0,515.35,75–90
F,24-34,82.5,Wraps,120.0,62.5,132.5,499.87,75–90
F,35-39,82.5,Wraps,110.0,67.5,130.0,476.25,75–90
F,24-34,82.5,Wraps,100.0,60.0,130.0,457.47,75–90
F,40-44,90.0,Wraps,145.0,65.0,162.5,554.59,75–90
F,40-44,110.0,Wraps,162.5,77.5,172.5,586.97,105–120
F,20-23,60.0,Wraps,110.0,70.0,117.5,538.48,<60
F,35-39,60.0,Wraps,67.5,37.5,85.0,328.58,<60
M,40-44,90.0,Wraps,230.0,135.0,245.0,576.01,75–90
F,20-23,110.0,Wraps,110.0,60.0,135.0,441.05,105–120
M,35-39,100.0,Wraps,220.0,100.0,190.0,445.15,90–105
M,40-44,125.0,Wraps,280.0,170.0,235.0,540.63,120+
M,24-34,82.5,Wraps,175.0,107.5,230.0,503.18,75–90
M,35-39,125.0,Wraps,270.0,157.5,290.0,570.55,120+
M,24-34,125.0,Wraps,200.0,125.0,240.0,443.78,120+
M,24-34,100.0,Wraps,200.0,87.5,200.0,417.79,90–105
M,24-34,125.0,Wraps,330.0,210.0,270.0,653.57,120+
F,40-44,82.5,Wraps,135.0,70.0,145.0,539.89,75–90
M,18-19,82.5,Wraps,70.0,70.0,110.0,206.19,75–90
M,24-34,82.5,Wraps,180.0,115.0,205.0,489.26,75–90
F,20-23,90.0,Wraps,90.0,50.0,130.0,412.94,75–90
F,24-34,110.0,Wraps,180.0,115.0,192.5,702.85,105–120
F,20-23,60.0,Wraps,100.0,65.0,115.0,500.2,<60
M,13-15,75.0,Wraps,110.0,75.0,135.0,312.62,60–75
M,24-34,110.0,Wraps,235.0,160.0,245.0,560.86,105–120
F,24-34,75.0,Multi-ply,135.0,85.0,115.0,460.82,60–75
M,24-34,100.0,Multi-ply,225.0,175.0,180.0,452.93,90–105
F,24-34,110.0,Multi-ply,145.0,80.0,140.0,433.06,105–120
M,20-23,82.5,Multi-ply,250.0,115.0,200.0,502.79,75–90
M,24-34,110.0,Multi-ply,315.0,210.0,315.0,591.39,105–120
M,24-34,90.0,Wraps,250.0,130.0,250.0,602.55,75–90
F,24-34,82.5,Wraps,120.0,55.0,135.0,491.18,75–90
F,24-34,67.5,Wraps,80.0,57.5,102.5,406.35,60–75
F,24-34,52.0,Wraps,125.0,55.0,135.0,612.22,<60
F,24-34,60.0,Wraps,130.0,47.5,135.0,557.91,<60
F,24-34,75.0,Wraps,220.0,105.0,210.0,863.86,60–75
M,24-34,90.0,Wraps,175.0,102.5,205.0,444.76,75–90
F,24-34,60.0,Wraps,100.0,57.5,130.0,512.6,<60
M,24-34,82.5,Wraps,195.0,120.0,180.0,485.67,75–90
M,24-34,100.0,Wraps,160.0,82.5,210.0,396.32,90–105
M,24-34,100.0,Wraps,130.0,65.0,160.0,285.38,90–105
M,20-23,110.0,Wraps,272.5,172.5,265.0,604.95,105–120
M,40-44,90.0,Wraps,195.0,127.5,202.5,487.25,75–90
F,35-39,67.5,Wraps,125.0,62.5,140.0,553.25,60–75
M,24-34,125.0,Wraps,265.0,212.5,262.5,589.26,120+
F,45-49,75.0,Wraps,132.5,67.5,152.5,567.84,60–75
F,45-49,90.0,Wraps,115.0,77.5,120.0,467.4,75–90
M,24-34,90.0,Wraps,220.0,115.0,225.0,530.22,75–90
F,45-49,56.0,Wraps,120.0,55.0,120.0,545.81,<60
M,50-54,110.0,Wraps,145.0,105.0,170.0,332.49,105–120
M,60-64,75.0,Wraps,145.0,90.0,150.0,389.9,60–75
M,55-59,90.0,Wraps,207.5,130.0,212.5,521.26,75–90
M,24-34,100.0,Wraps,180.0,130.0,212.5,462.85,90–105
M,35-39,90.0,Wraps,270.0,170.0,255.0,667.6,75–90
F,16-17,75.0,Wraps,127.5,57.5,120.0,491.48,60–75
M,24-34,90.0,Wraps,235.0,165.0,272.5,647.01,75–90
M,24-34,90.0,Wraps,265.0,140.0,265.0,655.97,75–90
M,24-34,90.0,Wraps,250.0,142.5,255.0,620.72,75–90
M,20-23,90.0,Wraps,230.0,127.5,255.0,578.3,75–90
M,24-34,90.0,Wraps,200.0,142.5,245.0,552.05,75–90
M,24-34,90.0,Wraps,210.0,132.5,220.0,535.03,75–90
M,24-34,90.0,Wraps,185.0,125.0,200.0,478.32,75–90
M,18-19,90.0,Wraps,185.0,90.0,205.0,451.4,75–90
M,24-34,90.0,Wraps,165.0,107.5,205.0,448.24,75–90
M,16-17,90.0,Wraps,152.5,77.5,180.0,382.12,75–90
M,20-23,100.0,Wraps,260.0,130.0,250.0,569.19,90–105
M,20-23,100.0,Wraps,190.0,122.5,165.0,417.76,90–105
M,24-34,110.0,Wraps,290.0,147.5,265.0,616.97,105–120
M,20-23,110.0,Wraps,305.0,150.0,225.0,588.04,105–120
M,24-34,110.0,Wraps,245.0,160.0,270.0,579.49,105–120
M,24-34,110.0,Wraps,225.0,135.0,240.0,500.32,105–120
M,45-49,110.0,Wraps,200.0,125.0,200.0,446.54,105–120
M,20-23,125.0,Wraps,280.0,187.5,295.0,636.77,120+
M,35-39,125.0,Wraps,215.0,100.0,215.0,417.02,120+
M,24-34,140.0,Wraps,325.0,215.0,310.0,653.78,120+
M,24-34,140.0,Wraps,245.0,172.5,285.0,527.5,120+
M,24-34,140.0,Wraps,255.0,192.5,240.0,534.81,120+
